DRUH	NOVÁ AKREDITACE	NÁZEV SP/SO	TYP SP	NÁZEV SP	VYSOKÁ ŠKOLA	FAKULTA	FS	ISCED-F	SDS	JAZYK	PROFIL	OV1	PODIL OV1	OV2	PODIL OV2	OV3	PODIL OV3	OV4	PODIL OV4	OV5	PODIL OV5	KRAJ	PLATNOST AKREDITACE DO
SP	NE	Molekulární a buněčná biologie, genetika a virologie	doktorský	Molekulární a buněčná biologie, genetika a virologie	Univerzita Karlova	1. lékařská fakulta	3, 1		4	čeština												Praha	31.12.2024
SP	NE	Molekulární a buněčná biologie, genetika a virologie	doktorský	Molekulární a buněčná biologie, genetika a virologie	Univerzita Karlova	1. lékařská fakulta	3, 1		4	čeština												Praha	31.12.2024
SP	NE	Molekulární a buněčná biologie, genetika a virologie	doktorský	Molekulární a buněčná biologie, genetika a virologie	Univerzita Karlova	1. lékařská fakulta	3, 1		4	čeština												Praha	31.12.2024
SP	NE	Molekulární a buněčná biologie, genetika a virologie	doktorský	Molekulární a buněčná biologie, genetika a virologie	Univerzita Karlova	2. lékařská fakulta	3, 1		4	čeština												Praha	31.12.2024
SP	NE	Molekulární a buněčná biologie, genetika a virologie	doktorský	Molekulární a buněčná biologie, genetika a virologie	Univerzita Karlova	2. lékařská fakulta	3, 1		4	čeština												Praha	31.12.2024
SP	NE	Molekulární a buněčná biologie, genetika a virologie	doktorský	Molekulární a buněčná biologie, genetika a virologie	Univerzita Karlova	2. lékařská fakulta	3, 1		4	čeština												Praha	31.12.2024
SP	NE	Molekulární a buněčná biologie, genetika a virologie	doktorský	Molekulární a buněčná biologie, genetika a virologie	Univerzita Karlova	3. lékařská fakulta	3, 1		3	čeština												Praha	31.12.2024
SP	NE	Molekulární a buněčná biologie, genetika a virologie	doktorský	Molekulární a buněčná biologie, genetika a virologie	Univerzita Karlova	3. lékařská fakulta	3, 1		3	čeština												Praha	31.12.2024
SP	NE	Molekulární a buněčná biologie, genetika a virologie	doktorský	Molekulární a buněčná biologie, genetika a virologie	Univerzita Karlova	3. lékařská fakulta	3, 1		3	čeština												Praha	31.12.2024
SP	NE	Molekulární a buněčná biologie, genetika a virologie	doktorský	Molekulární a buněčná biologie, genetika a virologie	Univerzita Karlova	3. lékařská fakulta	3, 1		4	čeština												Praha	31.12.2024
SP	NE	Molekulární a buněčná biologie, genetika a virologie	doktorský	Molekulární a buněčná biologie, genetika a virologie	Univerzita Karlova	3. lékařská fakulta	3, 1		4	čeština												Praha	31.12.2024
SP	NE	Molekulární a buněčná biologie, genetika a virologie	doktorský	Molekulární a buněčná biologie, genetika a virologie	Univerzita Karlova	3. lékařská fakulta	3, 1		4	čeština												Praha	31.12.2024
SP	NE	Molekulární a buněčná biologie, genetika a virologie	doktorský	Molekulární a buněčná biologie, genetika a virologie	Univerzita Karlova	Přírodovědecká fakulta	3, 1		3	čeština												Praha	31.12.2024
SP	NE	Molekulární a buněčná biologie, genetika a virologie	doktorský	Molekulární a buněčná biologie, genetika a virologie	Univerzita Karlova	Přírodovědecká fakulta	3, 1		3	čeština												Praha	31.12.2024
SP	NE	Molekulární a buněčná biologie, genetika a virologie	doktorský	Molekulární a buněčná biologie, genetika a virologie	Univerzita Karlova	Přírodovědecká fakulta	3, 1		3	čeština												Praha	31.12.2024
SP	NE	Molekulární a buněčná biologie, genetika a virologie	doktorský	Molekulární a buněčná biologie, genetika a virologie	Univerzita Karlova	Přírodovědecká fakulta	3, 1		4	čeština												Praha	31.12.2024
SP	NE	Molekulární a buněčná biologie, genetika a virologie	doktorský	Molekulární a buněčná biologie, genetika a virologie	Univerzita Karlova	Přírodovědecká fakulta	3, 1		4	čeština												Praha	31.12.2024
SP	NE	Molekulární a buněčná biologie, genetika a virologie	doktorský	Molekulární a buněčná biologie, genetika a virologie	Univerzita Karlova	Přírodovědecká fakulta	3, 1		4	čeština												Praha	31.12.2024
SP	NE	Molekulární a buněčná biologie, genetika a virologie	doktorský	Molekulární a buněčná biologie, genetika a virologie	Univerzita Karlova	Přírodovědecká fakulta	3, 1		4	čeština												Praha	31.12.2024
SP	ANO	Molekulární a buněčná biologie, genetika a virologie	doktorský	Molekulární a buněčná biologie, genetika a virologie	Univerzita Karlova	Přírodovědecká fakulta	3, 1	0511	4	čeština		Biologie, ekologie a životní prostředí	100		0		0		0		0	Praha	23.10.2029
SP	ANO	Molekulární a translační medicína	doktorský	Molekulární a translační medicína	Univerzita Palackého v Olomouci	Lékařská fakulta	3, 1	0912	4	čeština		Všeobecné lékařství a zubní lékařství	100		0		0		0		0	Olomoucký	22.2.2033
SO	NE	Molekulární analytická a fyzikální chemie	navazující magisterský	Analytická a fyzikální chemie	Vysoká škola chemicko-technologická v Praze	Fakulta chemicko-inženýrská	3, 1		2	čeština												Praha	31.12.2024
SO	NE	Molekulární biofyzika	bakalářský	Fyzika	Univerzita Palackého v Olomouci	Přírodovědecká fakulta	1	0533	3	čeština												Olomoucký	31.12.2024
SO	NE	Molekulární biofyzika	navazující magisterský	Fyzika	Univerzita Palackého v Olomouci	Přírodovědecká fakulta	1	0533	2	čeština												Olomoucký	31.12.2024
SO	NE	Molekulární biologie a biochemie organismů	bakalářský	Speciální chemicko-biologické obory	Univerzita Karlova	Přírodovědecká fakulta	1	0511	3	čeština												Praha	31.12.2024
SP	ANO	Molekulární biologie a biochemie organismů	bakalářský	Molekulární biologie a biochemie organismů	Univerzita Karlova	Přírodovědecká fakulta	1	0511	3	čeština	akademicky zaměřený	Biologie, ekologie a životní prostředí	100		0		0		0		0	Praha	27.5.2030
SO	NE	Molekulární biologie a biotechnologie	bakalářský	Agrobiologie	Mendelova univerzita v Brně	Agronomická fakulta	1	0811	3	čeština												Jihomoravský	31.12.2024
SP	ANO	Molekulární biologie a biotechnologie	bakalářský	Molekulární biologie a biotechnologie	Mendelova univerzita v Brně	Agronomická fakulta	1	0511	3	čeština	akademicky zaměřený	Biologie, ekologie a životní prostředí	75	Zemědělství	25		0		0		0	Jihomoravský	1.8.2029
SP	ANO	Molekulární biologie a biotechnologie	navazující magisterský	Molekulární biologie a biotechnologie	Mendelova univerzita v Brně	Agronomická fakulta	1	0511	2	čeština	akademicky zaměřený	Biologie, ekologie a životní prostředí	70	Zemědělství	30		0		0		0	Jihomoravský	14.11.2029
SO	NE	Molekulární biologie a genetika	bakalářský	Experimentální biologie	Masarykova univerzita	Přírodovědecká fakulta	1	0511	3	čeština												Jihomoravský	31.12.2024
SO	NE	Molekulární biologie a genetika	navazující magisterský	Experimentální biologie	Masarykova univerzita	Přírodovědecká fakulta	1	0511	2	čeština												Jihomoravský	31.12.2024
SP	ANO	Molekulární biologie a genetika	navazující magisterský	Molekulární biologie a genetika	Masarykova univerzita	Přírodovědecká fakulta	1	0511	2	čeština	akademicky zaměřený	Biologie, ekologie a životní prostředí	100		0		0					Jihomoravský	4.8.2028
SO	NE	Molekulární biologie a genetika živočichů	doktorský	Zootechnika	Mendelova univerzita v Brně	Agronomická fakulta	3, 1	0511	3	čeština												Jihomoravský	31.12.2024
SO	NE	Molekulární biologie a genetika živočichů	doktorský	Zootechnika	Mendelova univerzita v Brně	Agronomická fakulta	3, 1	0511	3	čeština												Jihomoravský	31.12.2024
SO	NE	Molekulární biologie a genetika živočichů	doktorský	Zootechnika	Mendelova univerzita v Brně	Agronomická fakulta	3, 1	0511	4	čeština												Jihomoravský	31.12.2024
SP	ANO	Molekulární biologie, genetika a fyziologie živočichů	doktorský	Molekulární biologie, genetika a fyziologie živočichů	Mendelova univerzita v Brně	Agronomická fakulta	3, 1	0511	4	čeština		Biologie, ekologie a životní prostředí	50	Zemědělství	50		0		0		0	Jihomoravský	12.10.2031
SP	ANO	Molekulární fyziologie, genetika a biotechnologie rostlin	doktorský	Molekulární fyziologie, genetika a biotechnologie rostlin	Mendelova univerzita v Brně	Agronomická fakulta	3, 1	0811	4	čeština		Biologie, ekologie a životní prostředí	50	Zemědělství	50		0		0		0	Jihomoravský	12.10.2031
SP	ANO	Molekulární chemická fyzika a senzorika	doktorský	Molekulární chemická fyzika a senzorika	Vysoká škola chemicko-technologická v Praze	Fakulta chemicko-inženýrská	3, 1	0531	4	čeština		Chemie 	75	Fyzika	25		0		0		0	Praha	13.12.2029
SP	ANO	Molekulární chemická fyzika a senzorika	doktorský	Molekulární chemická fyzika a senzorika	Vysoká škola chemicko-technologická v Praze	Fakulta chemicko-inženýrská	3, 1	0531	4	čeština		Chemie 	75	Fyzika	25		0		0		0	Praha	17.12.2029
SO	NE	Mongolistika (dvouoborové)	bakalářský	Filologie	Univerzita Karlova	Filozofická fakulta	1	0288	3	čeština												Praha	31.12.2024
SO	NE	Mongolistika (dvouoborové)	magisterský	Filologie	Univerzita Karlova	Filozofická fakulta	1	0288	5	čeština												Praha	31.12.2024
SO	NE	Mongolistika (dvouoborové)	navazující magisterský	Filologie	Univerzita Karlova	Filozofická fakulta	1	0288	2	čeština												Praha	31.12.2024
SO	NE	Mongolistika (jednooborové)	bakalářský	Filologie	Univerzita Karlova	Filozofická fakulta	1	0288	3	čeština												Praha	31.12.2024
SO	NE	Mongolistika (jednooborové)	navazující magisterský	Filologie	Univerzita Karlova	Filozofická fakulta	1	0288	2	čeština												Praha	31.12.2024
SO	NE	Monitorování životního prostředí	bakalářský	Aplikovaná fyzika	Slezská univerzita v Opavě	Filozoficko-přírodovědecká fakulta v Opavě	1	0533	3	čeština												Moravskoslezský	31.12.2024
SO	NE	Montage	navazující magisterský	Cinema and Digital Media	Akademie múzických umění v Praze	Filmová a televizní fakulta	1		3	angličtina												Praha	31.12.2024
SP	ANO	Montage	navazující magisterský	Montage	Akademie múzických umění v Praze	Filmová a televizní fakulta	1	0211	3	angličtina	akademicky zaměřený	Umění 	100		0		0		0		0	Praha	13.3.2030
SP	ANO	Morfologie, fyziologie a farmakologie	doktorský	Morfologie, fyziologie a farmakologie	Veterinární univerzita Brno	Fakulta veterinárního lékařství	3, 1	0841	4	čeština		Veterinární lékařství, veterinární hygiena 	100		0		0		0		0	Jihomoravský	31.12.2028
SP	ANO	Morphology, Physiology and Pharmacology	doktorský	Morphology, Physiology and Pharmacology	Veterinární univerzita Brno	Fakulta veterinárního lékařství	3, 1	0841	4	angličtina		Veterinární lékařství, veterinární hygiena 	100		0		0		0		0	Jihomoravský	31.12.2028
SO	NE	Multifunctional Agriculture	navazující magisterský	Agricultural Engineering	Jihočeská univerzita v Českých Budějovicích	Zemědělská fakulta	1		2	angličtina												Jihočeský	31.12.2024
SP	ANO	Multifunctional Agriculture	navazující magisterský	Multifunctional Agriculture	Jihočeská univerzita v Českých Budějovicích	Zemědělská fakulta	1	0811	2	angličtina	akademicky zaměřený	Zemědělství	100		0		0		0		0	Jihočeský	3.8.2031
SP	ANO	Multimédia	bakalářský	Multimédia	Univerzita Tomáše Bati ve Zlíně	Fakulta multimediálních komunikací	1	0211	3	čeština	akademicky zaměřený	Umění 	100		0		0		0		0	Zlínský	17.4.2033
SP	ANO	Multimédia	navazující magisterský	Multimédia	Univerzita Tomáše Bati ve Zlíně	Fakulta multimediálních komunikací	1	0211	2	čeština	akademicky zaměřený	Umění 	100		0		0		0		0	Zlínský	17.4.2033
SO	NE	Multimédia a design	bakalářský	Výtvarná umění	Univerzita Tomáše Bati ve Zlíně	Fakulta multimediálních komunikací	3	0211	3	čeština												Zlínský	31.12.2024
SO	NE	Multimédia a design	bakalářský	Výtvarná umění	Univerzita Tomáše Bati ve Zlíně	Fakulta multimediálních komunikací	3, 1	0211	3	čeština												Zlínský	31.12.2024
SO	NE	Multimédia a design	doktorský	Výtvarná umění	Univerzita Tomáše Bati ve Zlíně	Fakulta multimediálních komunikací	3, 1	0211	3	čeština												Zlínský	31.12.2024
SO	NE	Multimédia a design	navazující magisterský	Výtvarná umění	Univerzita Tomáše Bati ve Zlíně	Fakulta multimediálních komunikací	3, 1	0211	2	čeština												Zlínský	31.12.2024
SP	ANO	Multimédia a design	bakalářský	Multimédia a design	Univerzita Tomáše Bati ve Zlíně	Fakulta multimediálních komunikací	1	0212	3	čeština	akademicky zaměřený	Umění 	100		0		0		0		0	Zlínský	1.6.2025
SP	ANO	Multimédia a design	navazující magisterský	Multimédia a design	Univerzita Tomáše Bati ve Zlíně	Fakulta multimediálních komunikací	1	0212	2	čeština	akademicky zaměřený	Umění 	100		0		0		0		0	Zlínský	1.6.2025
SP	ANO	Multimédia a design	doktorský	Multimédia a design	Univerzita Tomáše Bati ve Zlíně	Fakulta multimediálních komunikací	3, 1	0288	4	čeština		Umění 	100		0		0		0		0	Zlínský	23.3.2031
SO	NE	Multimedia and Design	doktorský	Fine Arts, Visual Arts	Univerzita Tomáše Bati ve Zlíně	Fakulta multimediálních komunikací	3, 1	0211	3	angličtina												Zlínský	31.12.2024
SP	ANO	Multimedia and Design	doktorský	Multimedia and Design	Univerzita Tomáše Bati ve Zlíně	Fakulta multimediálních komunikací	3, 1	0288	4	angličtina		Umění 	100		0		0		0		0	Zlínský	23.3.2031
SO	NE	Multimedia Graphic Design	bakalářský	Specialization in Education	Univerzita Hradec Králové	Pedagogická fakulta	1	0188	3	angličtina												Královéhradecký	31.12.2024
SP	ANO	Multimedia Production	bakalářský	Multimedia Production	Filmová akademie Miroslava Ondříčka v Písku, o.p.s.		1	0211	3	angličtina	profesně zaměřený	Umění 	100		0		0					Jihočeský	8.1.2029
SP	ANO	Multimedia Production	navazující magisterský	Multimedia Production	Filmová akademie Miroslava Ondříčka v Písku, o.p.s.		1	0211	2	angličtina	profesně zaměřený	Umění 	100		0		0					Jihočeský	8.1.2029
SO	NE	Multimedia Technology	bakalářský	Communications, Multimedia and Electronics	České vysoké učení technické v Praze	Fakulta elektrotechnická	3, 1	0714	3	angličtina												Praha	31.12.2024
SO	NE	Multimedia Technology	navazující magisterský	Communications, Multimedia and Electronics	České vysoké učení technické v Praze	Fakulta elektrotechnická	3, 1	0714	2	angličtina												Praha	31.12.2024
SO	NE	Multimédia v ekonomické praxi	bakalářský	Aplikovaná informatika	Vysoká škola ekonomická v Praze	Fakulta informatiky a statistiky	1	0688	3	čeština												Praha	31.12.2024
SP	ANO	Multimédia v ekonomické praxi	bakalářský	Multimédia v ekonomické praxi	Vysoká škola ekonomická v Praze	Fakulta informatiky a statistiky	1	0688	3,5	čeština	profesně zaměřený	Informatika	85	Ekonomické obory 	15		0		0		0	Praha	10.6.2029
SO	NE	Multimediální design	bakalářský	Výtvarná umění	Západočeská univerzita v Plzni	Celoškolská pracoviště	1	0212	3	čeština												Plzeňský	31.12.2024
SO	NE	Multimediální design	bakalářský	Design	Západočeská univerzita v Plzni	Fakulta designu a umění Ladislava Sutnara	1		3	čeština												Plzeňský	31.12.2024
SO	NE	Multimediální kompozice	bakalářský	Hudební umění	Janáčkova akademie múzických umění	Hudební fakulta	1	0215	3	čeština												Jihomoravský	31.12.2024
SO	NE	Multimediální kompozice	navazující magisterský	Hudební umění	Janáčkova akademie múzických umění	Hudební fakulta	1		2	čeština												Jihomoravský	31.12.2024
SP	ANO	Multimediální produkce	bakalářský	Multimediální produkce	Filmová akademie Miroslava Ondříčka v Písku, o.p.s.		1	0211	3	čeština	profesně zaměřený	Umění 	100		0		0					Jihočeský	8.1.2029
SP	ANO	Multimediální produkce	navazující magisterský	Multimediální produkce	Filmová akademie Miroslava Ondříčka v Písku, o.p.s.		1	0211	2	čeština	profesně zaměřený	Umění 	100		0		0					Jihočeský	8.1.2029
SO	NE	Multimediální technika	bakalářský	Komunikace, multimédia a elektronika	České vysoké učení technické v Praze	Fakulta elektrotechnická	3, 1	0714	3	čeština												Praha	31.12.2024
SO	NE	Multimediální technika	navazující magisterský	Komunikace, multimédia a elektronika	České vysoké učení technické v Praze	Fakulta elektrotechnická	3, 1	0714	2	čeština												Praha	31.12.2024
SO	NE	Multimediální techniky	bakalářský	Aplikovaná fyzika	Slezská univerzita v Opavě	Filozoficko-přírodovědecká fakulta v Opavě	1	0533	3	čeština												Moravskoslezský	31.12.2024
SP	ANO	Multimediální techniky	navazující magisterský	Multimediální techniky	Slezská univerzita v Opavě		1	0211	2	čeština	profesně zaměřený	Umění 	50	Fyzika	50		0		0		0	Moravskoslezský	1.8.2025
SP	ANO	Multimediální techniky	bakalářský	Multimediální techniky	Slezská univerzita v Opavě	Filozoficko-přírodovědecká fakulta v Opavě	1	0211	3	čeština	profesně zaměřený	Umění 	50	Fyzika	50		0		0		0	Moravskoslezský	14.2.2030
SP	ANO	Multimediální tvorba	bakalářský	Multimediální tvorba	Janáčkova akademie múzických umění	Hudební fakulta	1	0211	4	čeština	akademicky zaměřený	Umění 	100		0		0		0		0	Jihomoravský	4.4.2028
SP	ANO	Multimediální tvorba	navazující magisterský	Multimediální tvorba	Janáčkova akademie múzických umění	Hudební fakulta	1	0211	2	čeština	akademicky zaměřený	Umění 	100		0		0		0		0	Jihomoravský	4.4.2028
SO	NE	Municipal Engineering and Construction	navazující magisterský	Civil Engineering	Vysoká škola báňská – Technická univerzita Ostrava	Fakulta stavební	3, 1	0732	1,5	angličtina												Moravskoslezský	31.12.2024
SO	NE	Municipal Engineering and Construction	doktorský	Civil Engineering	Vysoká škola báňská – Technická univerzita Ostrava	Fakulta stavební	3, 1		4	angličtina												Moravskoslezský	31.12.2024
SP	ANO	Music	bakalářský	Music	Univerzita Palackého v Olomouci	Filozofická fakulta	1	0215	3	angličtina	akademicky zaměřený	Vědy o umění a kultuře	100		0		0		0		0	Olomoucký	8.8.2028
SO	NE	Music Culture Focused on Education	bakalářský	Specialization in Education	Univerzita Hradec Králové	Pedagogická fakulta	1	0188	3	angličtina												Královéhradecký	31.12.2024
SO	NE	Music Culture in Education	bakalářský	Specialization in Education	Univerzita Palackého v Olomouci	Pedagogická fakulta	1	0188	3	angličtina												Olomoucký	31.12.2024
SO	NE	Music Direction	bakalářský	Art of Music	Akademie múzických umění v Praze	Hudební a taneční fakulta	1	0215	3	angličtina												Praha	31.12.2024
SO	NE	Music Direction	navazující magisterský	Art of Music	Akademie múzických umění v Praze	Hudební a taneční fakulta	1	0215	2	angličtina												Praha	31.12.2024
SP	ANO	Music Education for Teacher Education 	bakalářský	Music Education for Teacher Education 	Univerzita Karlova	Pedagogická fakulta	1	0114	3	angličtina	akademicky zaměřený	Vědy o umění a kultuře	60	Učitelství 	40		0		0		0	Praha	22.4.2030
SO	NE	Music Management	bakalářský	Art of Music	Akademie múzických umění v Praze	Hudební a taneční fakulta	1	0215	3	angličtina												Praha	31.12.2024
SO	NE	Music Management	navazující magisterský	Art of Music	Akademie múzických umění v Praze	Hudební a taneční fakulta	1	0215	2	angličtina												Praha	31.12.2024
SO	NE	Music Oriented at Education (dvouoborové)	bakalářský	Specialization in Education	Univerzita Karlova	Pedagogická fakulta	1	0188	3	angličtina												Praha	31.12.2024
SO	NE	Music Oriented at Education (dvouoborové)	bakalářský	Specialization in Education	Univerzita Karlova	Pedagogická fakulta	1	0188	3	angličtina												Praha	31.12.2024
SO	NE	Music Oriented at Education (dvouoborové)	bakalářský	Specialization in Education	Univerzita Karlova	Pedagogická fakulta	1	0188	3	angličtina												Praha	31.12.2024
SO	NE	Music Production	doktorský	Art of Music	Akademie múzických umění v Praze	Hudební a taneční fakulta	3, 1	0215	3	angličtina												Praha	31.12.2024
SO	NE	Music Theory	bakalářský	Art of Music	Akademie múzických umění v Praze	Hudební a taneční fakulta	1	0215	3	angličtina												Praha	31.12.2024
SO	NE	Music Theory	doktorský	Art of Music	Akademie múzických umění v Praze	Hudební a taneční fakulta	3, 1	0215	3	angličtina												Praha	31.12.2024
SO	NE	Music Theory	navazující magisterský	Art of Music	Akademie múzických umění v Praze	Hudební a taneční fakulta	1	0215	2	angličtina												Praha	31.12.2024
SO	NE	Music Theory and Education	doktorský	Pedagogika	Univerzita Karlova	Pedagogická fakulta	3, 1	0111	4	angličtina												Praha	31.12.2024
SO	NE	Music Theory and Education	doktorský	Specialization in Education	Univerzita Palackého v Olomouci	Pedagogická fakulta	3, 1	0111	3	angličtina												Olomoucký	31.12.2024
SP	ANO	Music Theory and Education	doktorský	Music Theory and Education	Univerzita Palackého v Olomouci	Pedagogická fakulta	3, 1	0111	4	angličtina		Učitelství 	100		0		0					Olomoucký	8.8.2028
SO	NE	Music Theory and Pedagogy	doktorský	Specialization in Education	Univerzita Jana Evangelisty Purkyně v Ústí nad Labem	Pedagogická fakulta	3, 1		3	angličtina												Ústecký	31.12.2024
SO	NE	Musical Instrument Oriented at Education (dvouoborové)	bakalářský	Specialization in Education	Univerzita Karlova	Pedagogická fakulta	1	0188	3	angličtina												Praha	31.12.2024
SO	NE	Musical Instrument Oriented at Education (dvouoborové)	bakalářský	Specialization in Education	Univerzita Karlova	Pedagogická fakulta	1	0188	3	angličtina												Praha	31.12.2024
SO	NE	Musical Instrument Oriented at Education (dvouoborové)	bakalářský	Specialization in Education	Univerzita Karlova	Pedagogická fakulta	1	0188	3	angličtina												Praha	31.12.2024
SP	ANO	Musical Theory and Education	doktorský	Musical Theory and Education	Univerzita Karlova	Pedagogická fakulta	3, 1	0111	4	angličtina		Učitelství 	60	Vědy o umění a kultuře	40		0		0		0	Praha	23.10.2029
SO	NE	Musicology	doktorský	Obecná teorie a dějiny umění a kultury (čtyřleté)	Masarykova univerzita	Filozofická fakulta	3, 1	0215	4	angličtina												Jihomoravský	31.12.2024
SO	NE	Musicology	doktorský	Obecná teorie a dějiny umění a kultury	Univerzita Karlova	Filozofická fakulta	3, 1		3	angličtina												Praha	31.12.2024
SP	ANO	Musicology	doktorský	Musicology	Masarykova univerzita	Filozofická fakulta	3, 1	0215	4	angličtina		Vědy o umění a kultuře	100		0		0		0		0	Jihomoravský	27.4.2030
SP	ANO	Musicology	doktorský	Musicology	Univerzita Karlova	Filozofická fakulta	3, 1	0215	4	angličtina		Vědy o umění a kultuře	100		0		0					Praha	21.9.2028
SO	NE	Musicproduction	doktorský	Art of Music	Janáčkova akademie múzických umění	Hudební fakulta	3, 1		4	angličtina												Jihomoravský	31.12.2024
SO	NE	Musikproduktion	doktorský	Musikkunst	Janáčkova akademie múzických umění	Hudební fakulta	3, 1		4	němčina												Jihomoravský	31.12.2024
SO	NE	Musiktheaterregie	navazující magisterský	Musikkunst	Janáčkova akademie múzických umění	Hudební fakulta	1	0215	2	němčina												Jihomoravský	31.12.2024
SO	NE	Musiktheaterregie	bakalářský	Musikkunst	Janáčkova akademie múzických umění	Hudební fakulta	1		3	němčina												Jihomoravský	31.12.2024
SO	NE	Musikwissenschaft	doktorský	Obecná teorie a dějiny umění a kultury (čtyřleté)	Masarykova univerzita	Filozofická fakulta	3, 1	0215	4	němčina												Jihomoravský	31.12.2024
SO	NE	Musikwissenschaft	doktorský	Teorie a dějiny divadla, filmu a masmédií	Univerzita Karlova	Filozofická fakulta	3, 1		3	němčina												Praha	31.12.2024
SO	NE	Muzejní a galerijní pedagogika (dvouoborové)	navazující magisterský	Speciální pedagogika	Univerzita Palackého v Olomouci	Pedagogická fakulta	3, 1	0111	2	čeština												Olomoucký	31.12.2024
SP	ANO	Muzejní studia	navazující magisterský	Muzejní studia	Univerzita Karlova	Filozofická fakulta	3, 1	0322	2	čeština	profesně zaměřený	Vědy o umění a kultuře	100		0		0		0		0	Praha	31.5.2028
SP	ANO	Muzeologie	navazující magisterský	Muzeologie	Masarykova univerzita	Filozofická fakulta	3, 1	0222	2	čeština	akademicky zaměřený	Historické vědy	100		0		0		0		0	Jihomoravský	19.4.2026
SP	ANO	Muzeologie	bakalářský	Muzeologie	Masarykova univerzita	Filozofická fakulta	3, 1	0322	3	čeština	akademicky zaměřený	Historické vědy	100		0		0					Jihomoravský	4.8.2024
SO	NE	Muzeologie (dvouoborové)	bakalářský	Historické vědy	Masarykova univerzita	Filozofická fakulta	1	0222	3	čeština												Jihomoravský	31.12.2024
SO	NE	Muzeologie (dvouoborové)	bakalářský	Historické vědy	Masarykova univerzita	Filozofická fakulta	1	0222	3	čeština												Jihomoravský	31.12.2024
SO	NE	Muzeologie (dvouoborové)	navazující magisterský	Historické vědy	Masarykova univerzita	Filozofická fakulta	1	0322	2	čeština												Jihomoravský	31.12.2024
SO	NE	Muzeologie (dvouoborové)	bakalářský	Historické vědy	Slezská univerzita v Opavě	Filozoficko-přírodovědecká fakulta v Opavě	1	0322	3	čeština												Moravskoslezský	31.12.2024
SO	NE	Muzeologie (jednooborové)	bakalářský	Historické vědy	Masarykova univerzita	Filozofická fakulta	3	0222	3	čeština												Jihomoravský	31.12.2024
SO	NE	Muzeologie (jednooborové)	bakalářský	Historické vědy	Masarykova univerzita	Filozofická fakulta	3, 1	0222	3	čeština												Jihomoravský	31.12.2024
SO	NE	Muzeologie (jednooborové)	navazující magisterský	Historické vědy	Masarykova univerzita	Filozofická fakulta	3, 1	0322	2	čeština												Jihomoravský	31.12.2024
SO	NE	Muzikálové herectví	magisterský	Dramatická umění	Janáčkova akademie múzických umění	Divadelní fakulta	1	0215	4	čeština												Jihomoravský	31.12.2024
SO	NE	Muzikologie	bakalářský	Teorie a dějiny hudebního umění	Univerzita Palackého v Olomouci	Filozofická fakulta	3	0215	3	čeština												Olomoucký	31.12.2024
SP	ANO	Muzikologie	bakalářský	Muzikologie	Univerzita Palackého v Olomouci	Filozofická fakulta	"3, 1
"	0215	3	čeština	akademicky zaměřený	Vědy o umění a kultuře	100		0		0					Olomoucký	8.8.2028
SP	ANO	Muzikologie	navazující magisterský	Muzikologie	Univerzita Palackého v Olomouci	Filozofická fakulta	1	0215	2	čeština	akademicky zaměřený	Vědy o umění a kultuře	100		0		0					Olomoucký	8.8.2028
SO	NE	Muzikologie (dvouoborové)	bakalářský	Teorie a dějiny hudebního umění	Univerzita Palackého v Olomouci	Filozofická fakulta	1	0215	3	čeština												Olomoucký	31.12.2024
SO	NE	Muzikologie (dvouoborové)	bakalářský	Teorie a dějiny hudebního umění	Univerzita Palackého v Olomouci	Filozofická fakulta	1	0215	3	čeština												Olomoucký	31.12.2024
SO	NE	Muzikologie (dvouoborové)	navazující magisterský	Teorie a dějiny hudebního umění	Univerzita Palackého v Olomouci	Filozofická fakulta	1	0215	2	čeština												Olomoucký	31.12.2024
SO	NE	Muzikologie (jednooborové)	bakalářský	Teorie a dějiny hudebního umění	Univerzita Palackého v Olomouci	Filozofická fakulta	1	0215	3	čeština												Olomoucký	31.12.2024
SO	NE	Muzikologie (jednooborové)	navazující magisterský	Teorie a dějiny hudebního umění	Univerzita Palackého v Olomouci	Filozofická fakulta	1	0215	2	čeština												Olomoucký	31.12.2024
SP	ANO	Muzikoterapie	navazující magisterský	Muzikoterapie	Univerzita Palackého v Olomouci	Pedagogická fakulta	3, 1	0988	3	čeština	akademicky zaměřený	Neučitelská pedagogika 	100		0		0					Olomoucký	1.10.2026
SO	NE	Myslivost	doktorský	Lesní inženýrství	Mendelova univerzita v Brně	Lesnická a dřevařská fakulta	3, 1	0821	4	čeština												Jihomoravský	31.12.2024
SP	ANO	Myslivost	bakalářský	Myslivost	Mendelova univerzita v Brně	Lesnická a dřevařská fakulta	3, 1	0821	3	čeština	akademicky zaměřený	Lesnictví a dřevařství 	100		0		0		0		0	Jihomoravský	6.5.2031
SP	ANO	Myslivost a péče o životní prostředí zvěře	bakalářský	Myslivost a péče o životní prostředí zvěře	Česká zemědělská univerzita v Praze	Fakulta lesnická a dřevařská	3, 1	0821	3	čeština	akademicky zaměřený	Lesnictví a dřevařství 	100		0		0		0		0	Praha	23.11.2030
SO	NE	Mzdové účetnictví, daně a personalistika	bakalářský	Ekonomika a management			3, 1		3	čeština													31.12.2024
SO	NE	Náboženská výchova	bakalářský	Specializace v pedagogice	Univerzita Hradec Králové	Pedagogická fakulta	3, 1	0188	3	čeština												Královéhradecký	31.12.2024
