DRUH	NOVÁ AKREDITACE	NÁZEV SP/SO	TYP SP	NÁZEV SP	VYSOKÁ ŠKOLA	FAKULTA	FS	ISCED-F	SDS	JAZYK	PROFIL	OV1	PODIL OV1	OV2	PODIL OV2	OV3	PODIL OV3	OV4	PODIL OV4	OV5	PODIL OV5	KRAJ	PLATNOST AKREDITACE DO
SP	ANO	Agricultural Chemistry	doktorský	Agricultural Chemistry	Česká zemědělská univerzita v Praze	Fakulta agrobiologie, potravinových a přírodních zdrojů	3, 1	0888	4	angličtina		Zemědělství	100		0		0		0		0	Praha	14.12.2030
SO	NE	Agriculture and Food	bakalářský	Agriculture and Food	Česká zemědělská univerzita v Praze	Fakulta agrobiologie, potravinových a přírodních zdrojů	1	0811	3	angličtina												Praha	31.12.2024
SP	ANO	Agriculture and Food	bakalářský	Agriculture and Food	Česká zemědělská univerzita v Praze	Fakulta agrobiologie, potravinových a přírodních zdrojů	1	0811	3	angličtina	akademicky zaměřený	Zemědělství	60	Potravinářství	40		0					Praha	28.1.2024
SO	NE	Agriculture in Tropics and Subtropics	doktorský	Agricultural Specialization	Česká zemědělská univerzita v Praze	Fakulta tropického zemědělství	3, 1		3	angličtina												Praha	31.12.2024
SP	ANO	Agriculture in Tropics and subtropics	doktorský	Agriculture in Tropics and subtropics	Česká zemědělská univerzita v Praze	Fakulta tropického zemědělství	3, 1	0888	3	angličtina		Zemědělství	100		0		0		0		0	Praha	18.11.2029
SP	ANO	Agri-food Systems and Rural Development	navazující magisterský	Agri-food Systems and Rural Development	Česká zemědělská univerzita v Praze	Fakulta tropického zemědělství	1	0811	2	angličtina	akademicky zaměřený	Zemědělství	80	Potravinářství	20		0					Praha	17.12.2028
SO	NE	Agrobyznys	bakalářský	Zemědělské inženýrství	Mendelova univerzita v Brně	Agronomická fakulta	1		3	čeština												Jihomoravský	31.12.2024
SO	NE	Agrobyznys	navazující magisterský	Zemědělské inženýrství	Mendelova univerzita v Brně	Agronomická fakulta	1		2	čeština												Jihomoravský	31.12.2024
SO	NE	Agroekologie	navazující magisterský	Zemědělské inženýrství	Jihočeská univerzita v Českých Budějovicích	Zemědělská fakulta	3, 1	0888	2	čeština												Jihočeský	31.12.2024
SO	NE	Agroekologie	bakalářský	Zemědělství	Jihočeská univerzita v Českých Budějovicích	Zemědělská fakulta	3, 1	0888	3	čeština												Jihočeský	31.12.2024
SO	NE	Agroekologie	doktorský	Zemědělské inženýrství	Jihočeská univerzita v Českých Budějovicích	Zemědělská fakulta	3, 1		4	čeština												Jihočeský	31.12.2024
SO	NE	Agroekologie	bakalářský	Zemědělská specializace	Mendelova univerzita v Brně	Agronomická fakulta	1	0888	3	čeština												Jihomoravský	31.12.2024
SO	NE	Agroekologie	navazující magisterský	Zemědělská specializace	Mendelova univerzita v Brně	Agronomická fakulta	1	0888	2	čeština												Jihomoravský	31.12.2024
SP	ANO	Agroekologie	bakalářský	Agroekologie	Jihočeská univerzita v Českých Budějovicích	Zemědělská fakulta	3, 1	0811	3	čeština	akademicky zaměřený	Zemědělství	100		0		0		0		0	Jihočeský	22.6.2027
SP	ANO	Agroekologie	navazující magisterský	Agroekologie	Jihočeská univerzita v Českých Budějovicích	Zemědělská fakulta	3, 1	0811	2	čeština	akademicky zaměřený	Zemědělství	100		0		0		0		0	Jihočeský	6.5.2026
SP	ANO	Agroekologie	navazující magisterský	Agroekologie	Mendelova univerzita v Brně	Agronomická fakulta	1	0811	2	čeština	akademicky zaměřený	Zemědělství	70	Biologie, ekologie a životní prostředí	30		0		0		0	Jihomoravský	10.6.2030
SP	ANO	Agroekologie	bakalářský	Agroekologie	Mendelova univerzita v Brně	Agronomická fakulta	1	0888	3	čeština	akademicky zaměřený	Zemědělství	100		0		0		0		0	Jihomoravský	1.8.2029
SP	ANO	Agroekologie a aplikovaná ekologie	doktorský	Agroekologie a aplikovaná ekologie	Jihočeská univerzita v Českých Budějovicích	Zemědělská fakulta	3, 1	0888	4	čeština		Biologie, ekologie a životní prostředí	66	Zemědělství	34		0		0		0	Jihočeský	20.12.2032
SO	NE	Agropodnikání	navazující magisterský	Zemědělské inženýrství	Jihočeská univerzita v Českých Budějovicích	Zemědělská fakulta	3, 1	0811	2	čeština												Jihočeský	31.12.2024
SO	NE	Agropodnikání	navazující magisterský	Zemědělské inženýrství	Jihočeská univerzita v Českých Budějovicích	Zemědělská fakulta	3, 1	0811	2	čeština												Jihočeský	31.12.2024
SO	NE	Agropodnikání	bakalářský	Zemědělství	Jihočeská univerzita v Českých Budějovicích	Zemědělská fakulta	3, 1	0811	3	čeština												Jihočeský	31.12.2024
SO	NE	Agropodnikání	bakalářský	Zemědělství	Jihočeská univerzita v Českých Budějovicích	Zemědělská fakulta	3, 1	0811	3	čeština												Jihočeský	31.12.2024
SP	ANO	Agropodnikání	bakalářský	Agropodnikání	Jihočeská univerzita v Českých Budějovicích	Zemědělská fakulta	3, 1	0811	3	čeština	profesně zaměřený	Zemědělství	100		0		0		0		0	Jihočeský	16.11.2028
SO	NE	Air Traffic Control and Management	doktorský	Technika a technologie v dopravě a spojích	České vysoké učení technické v Praze	Fakulta dopravní	3, 1	1041	3	angličtina												Praha	31.12.2024
SO	NE	Air Traffic Control and Management	navazující magisterský	Technika a technologie v dopravě a spojích	České vysoké učení technické v Praze	Fakulta dopravní	1		2	angličtina												Praha	31.12.2024
SP	ANO	Air Traffic Control and Management	doktorský	Air Traffic Control and Management	České vysoké učení technické v Praze	Fakulta dopravní	3, 1	1041	4	angličtina		Doprava	100		0		0		0		0	Praha	13.3.2030
SP	ANO	Air Traffic Control and Management	navazující magisterský	Air Traffic Control and Management	České vysoké učení technické v Praze	Fakulta dopravní	3, 1	1041	2	angličtina	akademicky zaměřený	Doprava	100		0		0		0		0	Praha	4.11.2026
SP	ANO	Air Traffic Operation	bakalářský	Air Traffic Operation	Vysoká škola mezinárodních a veřejných vztahů Praha, o.p.s.		3, 1	1041	3	angličtina	profesně zaměřený	Doprava	100		0		0		0		0	Praha	11.7.2025
SO	NE	Air Transport	bakalářský	Technika a technologie v dopravě a spojích	České vysoké učení technické v Praze	Fakulta dopravní	3, 1	1041	3	angličtina												Praha	31.12.2024
SP	ANO	Air Transport	bakalářský	Air Transport	Panevropská univerzita, a.s.		1	1041	3	angličtina	profesně zaměřený	Doprava	80	Ekonomické obory 	20		0		0		0	Praha	4.5.2024
SP	ANO	Air Transport	bakalářský	Air Transport	Vysoká škola obchodní v Praze, nadační fond		1	1041	3	angličtina	profesně zaměřený	Doprava	100		0		0		0		0	Praha	4.5.2024
SO	NE	Aircraft and Rocket Technology	doktorský	Military Technology	Univerzita obrany	Fakulta vojenských technologií	3, 1		3	angličtina												Jihomoravský	31.12.2024
SO	NE	Aircraft and Space Systems	navazující magisterský	Cybernetics and Robotics	České vysoké učení technické v Praze	Fakulta elektrotechnická	3, 1	0716	2	angličtina												Praha	31.12.2024
SO	NE	Aircraft Design	navazující magisterský	Mechanical engineering	Vysoké učení technické v Brně	Fakulta strojního inženýrství	1	0716	2	angličtina												Jihomoravský	31.12.2024
